titulo,autor,paginas,genero,nota,leram,favoritos,ano_publicacao,genero_autor,pais_origem,sigla_pais,nota_renata,inicio_leitura,fim_leitura,dias_leitura,ano_fim_leitura,fic_nfic,M1F0,BR,gostei,fav_ind
Uma Prova de Amor,Emily Giffin,432,Ficção / Filosofia / Literatura Estrangeira / Psicologia / Romance / Sociologia ,3.8,3634,250,2005,F,Estados Unidos,USA,3.0,01/12/20,31/12/20,30.0,2020,1.0,0.0,0.0,0.0,0.06879471656576774
A Garota No Trem,Paula Hawkins,378,Literatura Estrangeira / Ficção / Romance policial / Suspense e Mistério ,4.0,53307,3511,2015,F,Reino Unido,GBR,3.5,,23/09/19,,2019,1.0,0.0,0.0,1.0,0.06586377023655429
Sonhos Lúcidos ,Dylan Tuccillo,256,Não-ficção,4.0,458,38,2009,M,Estados Unidos,USA,5.0,,17/05/19,,2019,0.0,1.0,0.0,1.0,0.08296943231441048
Admirável mundo novo,Aldous Huxley,312,Distopia / Ficção científica / Literatura Estrangeira / Romance ,4.3,72973,7844,1932,M,Reino Unido,GBR,3.5,,22/04/19,,2019,1.0,1.0,0.0,1.0,0.10749181204006962
A Sutil Arte de Ligar o F*da-se,Mark Manson,224,Autoajuda ,3.7,43880,1925,2016,M,Estados Unidos,USA,3.0,,13/03/19,,2019,0.0,1.0,0.0,0.0,0.04386964448495898
Mindset,Carol S. Dweck,310,Psicologia ,4.0,9748,471,2006,F,Estados Unidos,USA,5.0,,04/02/19,,2019,0.0,0.0,0.0,1.0,0.04831760361099713
Forrest Gump,Winston Groom,392,Drama / Literatura Estrangeira / Romance ,4.2,3260,420,1986,M,Estados Unidos,USA,4.0,,05/06/18,,2018,1.0,1.0,0.0,1.0,0.12883435582822086
Harry Potter e as Relíquias da Morte,J.K. Rowling,592,Aventura / Fantasia / Ficção / Infantojuvenil / Jovem adulto / Literatura Estrangeira / Romance ,4.7,445047,42331,2007,F,Reino Unido,GBR,4.0,,,,2016,1.0,0.0,0.0,1.0,0.0951157967585446
Toda Luz que Não Podemos Ver,Anthony Doerr,526,Ficção / Literatura Estrangeira / Romance ,4.3,11476,1743,2014,M,Estados Unidos,USA,4.0,,01/03/16,,2016,1.0,1.0,0.0,1.0,0.1518821889159986
Os catadores de conchas,Rosamunde Pilcher,632,Ficção / Literatura Estrangeira / Romance ,4.3,3971,550,1988,F,Reino Unido,GBR,3.5,,,,2012,1.0,0.0,0.0,1.0,0.13850415512465375
A Revolução dos Bichos,George Orwell,152,Ficção / Distopia / Literatura Estrangeira ,4.4,292860,17485,1945,M,Reino Unido,GBR,4.0,,07/09/18,,2018,1.0,1.0,0.0,1.0,0.05970429556784812
O Diário de Anne Frank,Anne Frank,350,"Literatura Estrangeira / Biografia, Autobiografia, Memórias / Drama / Não-ficção ",4.5,327752,20035,1947,F,Alemanha,DEU,3.0,,,,2014,0.0,0.0,0.0,0.0,0.061128536210305354
